frame	complex	receptor	ligand	dG
0	-22879.71962816	-5948.55862848	-16849.63909592	-81.52190375999999
1	-22912.18686352	-5929.83919248	-16897.4292304	-84.91844063999815
2	-22863.25546976	-5903.694659520001	-16879.856481360002	-79.70432887999777
3	-22822.542822479998	-5897.39603624	-16848.28081232	-76.86597391999749
4	-22876.31614344	-5898.93144712	-16899.5454608	-77.8392355199976
5	-22799.659915919998	-5882.3406844	-16848.29264576	-69.02658575999885
6	-22820.83081312	-5902.904532	-16841.93705144	-75.98922967999897
7	-22786.74966232	-5887.439834480001	-16819.1024788	-80.20734903999983
8	-22814.85568952	-5906.58696952	-16829.78728648	-78.48143351999897
9	-22906.01672112	-5946.5911212	-16888.82025528	-70.60534464000011
10	-22887.70691088	-5935.98113456	-16881.883038399996	-69.84273792000386
11	-22824.142696879997	-5888.9221271199995	-16866.13193984	-69.08862991999558
12	-22866.168696399996	-5912.609285280001	-16880.865365359998	-72.69404575999943
13	-22910.438144960004	-5947.44509544	-16892.67658864	-70.31646088000343
14	-22870.169389519997	-5940.535156880001	-16858.331619520002	-71.30261311999493
15	-22817.562569520003	-5896.09233416	-16849.808199519997	-71.66203584000687
16	-22869.824065279998	-5900.033552879999	-16892.767601760002	-77.02291063999655
17	-22829.38259376	-5914.60395512	-16840.852963039997	-73.92567560000316
18	-22849.9486064	-5912.7988538399995	-16856.00511992	-81.14463264000369
19	-22785.27978976	-5920.980133999999	-16763.46967096	-100.82998479999878
20	-22949.27035456	-5935.46408848	-16932.76773384	-81.0385322400034
21	-22814.29002712	-5934.47316568	-16806.86985488	-72.9470065600035
22	-22869.454136159995	-5947.22130088	-16845.9218016	-76.31103367999458
23	-22768.16195152	-5930.473607600001	-16765.29456552	-72.39377840000088
24	-22867.225250239997	-5927.740345199999	-16858.765995600002	-80.7189094399946
25	-22780.07388304	-5903.68993512	-16798.507593920003	-77.87635399999635
26	-22833.71496952	-5926.61785696	-16825.4475036	-81.64960895999684
27	-22823.52570416	-5919.530906880001	-16838.87665776	-65.11813952000011
28	-22815.94024376	-5928.234477200001	-16806.224337440002	-81.48142911999821
29	-22908.951565119998	-5947.02508064	-16889.13167232	-72.7948121599984
