frame	complex	receptor	ligand	dG
0	-22907.5733044	-5956.063057200001	-16855.4466648	-96.06358239999827
1	-22876.422731040002	-5914.802042	-16864.125049759998	-97.49563928000498
2	-22846.928347119996	-5921.964748719999	-16838.23058544	-86.73301295999772
3	-22809.5638768	-5902.383839599999	-16831.757333759997	-75.4227034400028
4	-22848.26442448	-5917.2843348	-16841.92783536	-89.05225432000225
5	-22861.85940416	-5903.3313244	-16869.926032879997	-88.60204688000158
6	-22913.458147920002	-5926.509067520001	-16905.704925199996	-81.24415520000548
7	-22908.80313432	-5946.239987599999	-16872.63721632	-89.92593040000065
8	-22907.365727199995	-5940.85241248	-16873.35779544	-93.15551927999695
9	-22945.002517360004	-5954.4898664	-16908.97627728	-81.53637368000636
10	-22879.3840248	-5928.77073192	-16853.97526664	-96.638026239998
11	-22848.64835824	-5907.848759279999	-16849.289956319997	-91.50964264000504
12	-22835.611885439997	-5925.98594256	-16820.205222880002	-89.42071999999462
13	-22857.99813064	-5935.62215904	-16842.03515208	-80.34081951999906
14	-22902.572912800002	-5932.20165328	-16883.84945808	-86.52180144000158
15	-22879.669939040003	-5936.54452152	-16858.25886392	-84.86655360000077
16	-22912.97937704	-5941.32599792	-16882.42058616	-89.23279295999964
17	-22872.94242528	-5909.1131072	-16887.05547856	-76.7738395200031
18	-22849.329059199998	-5914.604229439999	-16862.51534224	-72.20948751999822
19	-22859.41495936	-5925.67032624	-16857.681094	-76.06353912000122
20	-22879.2521504	-5935.090751199999	-16866.55304592	-77.60835327999666
21	-22819.95096728	-5933.24393216	-16814.067952240002	-72.63908287999948
22	-22805.03594848	-5896.59971832	-16829.54461968	-78.89161047999733
23	-22866.27043928	-5923.2238512799995	-16871.343606	-71.70298200000252
24	-22869.986791360003	-5887.972745120001	-16898.742988479997	-83.27105776000462
25	-22856.9115228	-5916.022075760001	-16851.0020056	-89.88744144000157
26	-22903.03254704	-5937.61578184	-16872.688568799997	-92.72819640000307
27	-22872.529082560002	-5923.505869359999	-16860.74548432	-88.27772888000254
28	-22825.72150576	-5936.09064144	-16809.95029024	-79.68057408000095
29	-22841.893422959998	-5927.0039433599995	-16834.752558	-80.13692159999846
30	-22801.718745359998	-5921.965753119999	-16800.883189279997	-78.86980296000183
31	-22829.5821428	-5934.52651568	-16807.085528080002	-87.97009904000151
32	-22822.41987344	-5910.46383232	-16828.48015584	-83.47588528000051
33	-22864.95932	-5924.41179736	-16865.365315839997	-75.18220680000377
34	-22826.78307496	-5926.17049352	-16827.507470959998	-73.10511048000262
35	-22809.552090880003	-5925.58188696	-16805.97321576	-77.99698816000091
36	-22834.39323744	-5892.05539392	-16854.89793928	-87.43990424000003
37	-22868.853781039998	-5931.9285208	-16861.038712079997	-75.88654816000053
38	-22853.90170104	-5921.9653292	-16846.96043048	-84.9759413599968
39	-22857.70706408	-5926.08125992	-16847.790431280002	-83.83537287999934
40	-22890.21627864	-5908.116737439999	-16894.05602416	-88.04351704000146
41	-22866.50288512	-5907.06445408	-16877.004191120002	-82.43423991999589
42	-22814.50151656	-5936.865968720001	-16795.241718639998	-82.39382920000207
43	-22875.73641328	-5947.9199203200005	-16843.3488712	-84.46762175999902
44	-22897.386891759998	-5941.06288456	-16875.742311039998	-80.58169615999941
45	-22888.39917872	-5952.5707212	-16848.22730976	-87.60114776000046
46	-22896.42571368	-5910.365417999999	-16903.908972960002	-82.15132271999755
47	-22834.966653040003	-5928.19476224	-16833.86140248	-72.9104883200016
48	-22772.82338912	-5911.266286720001	-16786.103430799998	-75.45367160000023
49	-22860.1488064	-5915.6118512	-16845.8598588	-98.67709640000248
50	-22840.202894079997	-5932.6281244	-16829.435488559997	-78.13928111999849
51	-22886.94148672	-5937.74311336	-16861.26394896	-87.93442439999853
52	-22752.91652864	-5907.816949999999	-16778.56060856	-66.53897007999694
53	-22828.240153040002	-5982.8354808	-16769.65983344	-75.74483880000116
54	-22899.169634880003	-5971.062387039999	-16851.89604416	-76.21120368000629
55	-22835.10473912	-5924.3152724	-16818.19708552	-92.59238120000009
56	-22817.83266024	-5924.292863279999	-16814.596339120002	-78.94345783999961
57	-22862.95061792	-5970.013292800001	-16807.62297336	-85.3143517599965
58	-22863.680289840002	-5925.09031272	-16854.73291008	-83.8570670400004
59	-22841.42869776	-5932.82356216	-16821.088271919998	-87.51686368000082
60	-22949.77161712	-5968.01319584	-16887.911100319998	-93.84732096000153
61	-22831.077766560004	-5932.18426944	-16821.79579856	-77.09769856000275
62	-22887.28733784	-5970.0748139199995	-16846.9607788	-70.25174512000012
63	-22908.01323368	-5923.217721200001	-16894.21215776	-90.58335471999817
64	-22888.6576984	-5963.28711816	-16841.426110799996	-83.94446944000447
65	-22847.429327679998	-5942.424790079999	-16819.432832720002	-85.5717048799961
66	-22969.981672880003	-5955.930744960001	-16929.626135680002	-84.42479223999908
67	-22973.882512	-5950.068055680001	-16933.4885028	-90.32595352000135
68	-22922.91033536	-5954.07925184	-16896.5232944	-72.30778911999732
69	-22926.68426424	-5970.39207448	-16877.40286536	-78.8893244000028
70	-22889.270680560003	-5961.55344104	-16853.962099840002	-73.75513968000087
71	-22883.5450328	-5955.32248936	-16842.315855520003	-85.90668791999997
72	-22900.605788959998	-5984.21967736	-16830.95378104	-85.43233055999735
73	-22922.0062412	-5954.61481288	-16890.38223088	-77.00919743999839
74	-22926.50507704	-5972.61191328	-16875.1521612	-78.7410025600002
75	-23018.389447359998	-5959.88410256	-16978.186219839998	-80.31912495999859
76	-22904.975369039996	-5953.7127211199995	-16874.745092639998	-76.51755527999921
77	-22925.454227519996	-5944.89321848	-16893.08593864	-87.47507039999618
78	-22928.708310799997	-5955.441636160001	-16896.44250704	-76.82416759999614
79	-22880.721245039997	-5940.2460924	-16853.37125008	-87.10390255999664
80	-22908.923884639997	-5974.20577536	-16851.35640936	-83.36169991999486
81	-22811.548342080005	-5948.55977624	-16786.377395999996	-76.6111698400091
82	-22785.723300960002	-5934.05038592	-16769.05164456	-82.62127048000184
83	-22859.3732504	-5946.49327016	-16839.21177584	-73.6682043999972
84	-22934.54361224	-5947.49982704	-16909.25219368	-77.7915915199992
85	-22886.42978472	-5948.27667656	-16850.53760352	-87.61550464000175
86	-22867.6412236	-5973.164673519999	-16806.100987520003	-88.37556255999516
87	-22951.99424072	-5972.0273716	-16903.68304256	-76.2838265600003
88	-22911.89094752	-5938.97085072	-16896.99540088	-75.92469591999907
89	-22857.404829760002	-5919.10451072	-16861.82915416	-76.47116488000029
90	-22824.7978612	-5944.0535820800005	-16797.5727716	-83.17150752000089
91	-22844.37674944	-5939.96486016	-16827.876839840003	-76.53504944000088
92	-22831.3586448	-5910.9246852	-16838.57192128	-81.86203831999956
93	-22825.99351864	-5916.411244	-16833.91790888	-75.66436575999978
94	-22833.8815184	-5921.169268879999	-16832.359121039997	-80.35312848000467
95	-22857.50479904	-5915.893535119999	-16855.126581200002	-86.48468272000173
96	-22880.916653440003	-5893.851496	-16910.857388	-76.20776944000318
97	-22874.13682064	-5912.56865192	-16882.5715392	-78.9966295200029
98	-22948.307565599996	-5953.561728240001	-16909.85523888	-84.89059847999306
99	-22905.870079520006	-5911.22363504	-16907.396394479998	-87.25005000000965
100	-22875.315032960003	-5909.71462184	-16881.437425359996	-84.16298576000554
101	-22861.52069216	-5914.87450448	-16858.43023984	-88.21594784000263
102	-22854.19007376	-5920.3132284	-16863.80139456	-70.07545079999909
103	-22894.22139352	-5970.41208352	-16850.416966319997	-73.39234368000325
104	-22903.7840376	-5925.481736480001	-16899.850438560003	-78.45186255999579
105	-22816.23754024	-5924.220512160001	-16809.45344008	-82.56358799999725
106	-22909.407763919997	-5937.95865824	-16897.85325832	-73.5958473599967
107	-22871.808357040005	-5938.13798568	-16852.93926976	-80.73110160000215
108	-22881.92843328	-5940.687755520001	-16851.453033679998	-89.78764408000279
109	-22796.51328432	-5907.74264784	-16805.0068536	-83.76378287999978
110	-22916.03482072	-5963.558013840001	-16870.14012944	-82.33667744000195
111	-22960.336037999998	-5997.76421712	-16886.67675176	-75.8950691200007
112	-22913.01199536	-5956.464537520001	-16882.22787168	-74.31958615999974
113	-22903.11122016	-5927.1463284	-16900.1952368	-75.76965496000048
114	-22945.969328	-5969.78107872	-16895.93355752	-80.25469176000115
115	-22860.05122024	-5913.86287464	-16864.498554079997	-81.68979152000247
116	-22916.98589336	-5914.261648	-16916.3815444	-86.34270096000182
117	-22822.54083928	-5934.73658792	-16806.680201839998	-81.12404951999997
118	-22848.249853920002	-5957.30110016	-16815.872481360002	-75.07627240000147
119	-22913.54530944	-5944.32467192	-16874.87502376	-94.34561376000056
120	-22814.817722239997	-5944.43195408	-16790.18700352	-80.19876463999753
121	-22848.920790799995	-5933.38974416	-16830.572669520003	-84.95837711999411
122	-22922.33019608	-5980.2833795999995	-16862.139359279998	-79.90745720000632
123	-22823.24781432	-5941.18264768	-16800.24715984	-81.81800680000015
124	-22880.64948616	-5916.3742656	-16886.0663384	-78.20888216000094
125	-22914.3882464	-5944.73456304	-16891.53624528	-78.11743808000392
126	-22829.54999848	-5934.5934994399995	-16822.40888168	-72.54761736000364
127	-22881.379200800002	-5909.9358424	-16880.34677056	-91.09658783999839
128	-22759.14851632	-5893.70104288	-16776.86907256	-88.57840088000012
129	-22871.909325200002	-5948.623611839999	-16845.67004976	-77.61566360000506
130	-22850.68429216	-5949.749848639999	-16822.07710976	-78.85733375999916
131	-22857.673659040003	-5930.26428928	-16848.37253264	-79.03683712000202
132	-22855.564828559996	-5942.3836806399995	-16835.0491784	-78.13196951999635
133	-22884.819764399996	-5914.521829120001	-16892.73904016	-77.55889511999703
134	-22914.569610319995	-5948.062132	-16889.95213384	-76.55534447999526
135	-22896.16980656	-5951.03388504	-16874.42107872	-70.71484280000004
136	-22840.066499599998	-5921.42806336	-16837.6351888	-81.00324743999954
137	-22915.961293680004	-5934.947717120001	-16906.292820159997	-74.72075640000548
138	-22833.630073279997	-5972.033256799999	-16779.157340640002	-82.43947583999761
139	-22862.10146528	-5936.9769594399995	-16839.15790896	-85.96659688
140	-22931.428553920003	-5976.17556064	-16876.99004472	-78.26294856000095
141	-22856.43734352	-5944.21368968	-16835.30541656	-76.91823727999872
142	-22918.351724879998	-5960.44271496	-16877.917587679996	-79.99142224000025
143	-22910.117083360004	-5947.98976632	-16882.26883344	-79.85848360000455
144	-22912.3280656	-5919.65317976	-16903.084997839997	-89.58988800000225
145	-22841.22770144	-5964.500056560001	-16793.11843272	-83.6092121599977
146	-22925.15030112	-5968.78349408	-16873.637766080003	-82.72904095999911
147	-22876.62810056	-5936.27685936	-16855.203956	-85.14728519999699
148	-22917.698349759998	-5978.7892732	-16848.7274396	-90.18163695999829
149	-22837.642679999997	-5922.417160800001	-16832.940913280003	-82.28460591999465
150	-22824.872873600005	-5953.4359435199995	-16785.54678264	-85.89014744000451
151	-22849.670570079998	-5903.646088320001	-16861.726846	-84.29763575999459
152	-22862.41929944	-5937.07096952	-16852.19336728	-73.15496264000103
