frame	complex	receptor	ligand	dG
0	-22784.0915408	-5873.63072152	-16840.164787280002	-70.29603199999838
1	-22700.169250320003	-5880.07718072	-16752.70020336	-67.39186624000286
2	-22747.354099919998	-5844.6860868	-16833.463916480003	-69.20409663999453
3	-22783.440926080002	-5859.21186288	-16851.01112104	-73.21794216000126
4	-22803.150936159996	-5840.90406856	-16892.94218208	-69.30468551999365
5	-22740.052543280002	-5842.45786032	-16834.6999568	-62.89472616000421
6	-22780.85468112	-5864.94672952	-16838.410813439998	-77.49713816000076
7	-22755.94461792	-5845.63824832	-16836.072776160003	-74.23359343999618
8	-22704.659199520003	-5879.091246000001	-16745.92815888	-79.63979464000295
9	-22778.819867600003	-5854.11353864	-16841.928887600003	-82.77744136000183
10	-22708.0578084	-5874.45894072	-16751.70939336	-81.88947431999986
11	-22713.51459752	-5844.5299036	-16789.60505104	-79.37964288000148
12	-22661.16414256	-5839.68170128	-16743.3792808	-78.10316048000095
13	-22747.74244704	-5864.358322	-16780.76894056	-102.61518448000061
14	-22807.525371679996	-5873.22785112	-16842.08138432	-92.21613623999292
15	-22828.1192624	-5848.959049919999	-16896.01123	-83.148982480001
16	-22689.75332208	-5856.047558960001	-16742.430900639996	-91.27486248000423
17	-22768.60997016	-5878.58725536	-16808.05703008	-81.96568471999854
18	-22732.44851936	-5839.986325360001	-16826.6393704	-65.82282359999954
19	-22776.427092000005	-5875.77045952	-16832.225043280003	-68.43158920000133
20	-22779.89040616	-5895.421747920001	-16816.55470864	-67.91394959999889
21	-22787.34171888	-5898.36220016	-16825.428402240002	-63.55111647999729
22	-22750.997756	-5864.33040288	-16810.232535360003	-76.4348177599968
23	-22826.17858584	-5869.09949168	-16878.02482152	-79.05427263999809
24	-22752.93104208	-5869.464146000001	-16813.8712136	-69.59568247999778
25	-22771.434487680002	-5889.39785552	-16821.72026184	-60.316370320000715
26	-22862.429045360004	-5907.1214688	-16877.11159144	-78.19598512000448
27	-22870.72267696	-5876.741838159999	-16911.98887472	-81.99196407999989
28	-22860.17627856	-5905.48472408	-16882.4592308	-72.23232368000026
29	-22735.436223919998	-5868.210977199999	-16795.866544	-71.35870271999738
30	-22788.71561184	-5872.537127279999	-16841.470051599998	-74.70843296000385
31	-22770.78817096	-5875.750590799999	-16820.97086992	-74.06671024000389
32	-22760.141733279997	-5850.33146616	-16835.28929848	-74.52096863999759
33	-22741.284952320002	-5868.1066832	-16814.3829368	-58.79533232000176
34	-22814.278474879997	-5898.42619448	-16862.46638648	-53.385893919996306
35	-22867.21784024	-5890.157989040001	-16914.5347152	-62.5251360000002
36	-22848.940133520002	-5899.147894799999	-16883.363424879997	-66.4288138400043
37	-22648.90388704	-5886.9762076	-16696.88190136	-65.04577807999885
38	-22792.9379812	-5884.641199919999	-16844.902342	-63.39443928000037
39	-22782.437544239998	-5877.09647968	-16846.1112868	-59.229777759999706
40	-22805.24352624	-5906.66220936	-16836.28438752	-62.29692935999992
41	-22754.632333039997	-5878.482519839999	-16809.794485280003	-66.35532791999503
42	-22712.379819920003	-5853.77250096	-16788.462768960002	-70.14455000000089
43	-22760.417939839997	-5891.833283759999	-16801.46834312	-67.11631295999905
44	-22761.03101288	-5914.53706072	-16787.0130012	-59.48095096000179
45	-22754.60403384	-5910.6047968	-16779.84920392	-64.15003312000044
46	-22833.36313936	-5907.076253200001	-16866.59706272	-59.6898234399996
47	-22804.861083520005	-5904.4009416	-16848.3960348	-52.06410712000434
48	-22797.70857896	-5903.7149628	-16833.25820256	-60.73541359999945
49	-22815.6474012	-5900.74703776	-16833.08873616	-81.81162727999981
50	-22681.06876592	-5879.74674872	-16736.388178240002	-64.93383895999796
51	-22702.18407888	-5885.315995599999	-16742.81235984	-74.05572344000029
52	-22733.25941208	-5903.86676272	-16767.06528192	-62.32736743999703
53	-22795.83901208	-5912.11880576	-16822.96092192	-60.75928439999916
54	-22732.69325592	-5896.90595568	-16764.51281664	-71.27448360000199
55	-22782.07992744	-5886.58187832	-16834.057092	-61.44095712000126
