frame	complex	receptor	ligand	dG
0	-22684.099438160007	-5874.277524159999	-16738.757760959998	-71.06415304000984
1	-22618.828597519998	-5830.029992959999	-16711.88131616	-76.91728839999632
2	-22712.18003816	-5857.42406392	-16786.18933992	-68.56663431999914
3	-22730.9024584	-5889.1725336	-16764.995992400003	-76.73393239999496
4	-22720.3826196	-5870.111991119999	-16787.691654240003	-62.57897423999748
5	-22799.98086608	-5882.45110072	-16851.542625200003	-65.98714015999576
6	-22748.53997056	-5899.52287552	-16775.96285504	-73.05423999999766
7	-22731.1724744	-5884.0523953599995	-16766.71398224	-80.40609680000125
8	-22691.5338432	-5871.20964792	-16750.698462	-69.6257332799978
9	-22738.119055520005	-5898.20831224	-16765.38415952	-74.52658376000545
10	-22723.32529296	-5885.55932024	-16779.8786484	-57.88732431999961
11	-22719.686218000003	-5847.21148408	-16803.787393040002	-68.68734088000201
12	-22686.25134032	-5872.49200912	-16753.481549040003	-60.277782159995695
13	-22687.099410159997	-5861.8332120800005	-16755.771369840004	-69.49482823999278
14	-22728.12465896	-5895.56756472	-16757.63319184	-74.92390240000168
15	-22736.688746959997	-5874.40911416	-16794.13273256	-68.1469002399972
16	-22679.199268880002	-5883.92308672	-16720.67024784	-74.6059343199995
17	-22694.130180959997	-5869.75602488	-16754.2445904	-70.12956567999572
18	-22704.613067439997	-5871.0083792	-16759.80438152	-73.80030671999702
19	-22765.350962959998	-5883.77791672	-16815.31390352	-66.25914271999864
20	-22753.23972216	-5890.849211600001	-16792.856565439997	-69.53394512000159
21	-22728.3344136	-5900.86858064	-16761.70117008	-65.76466288000302
22	-22722.42159016	-5893.94199104	-16751.35607192	-77.12352720000126
23	-22675.86763384	-5857.56593072	-16753.648239119997	-64.65346400000271
24	-22686.32079384	-5874.55012488	-16740.57508064	-71.19558832000257
25	-22699.75147744	-5842.8951020800005	-16784.534898640002	-72.32147671999701
26	-22631.541341199998	-5835.37316712	-16728.05173728	-68.11643679999906
27	-22648.28716304	-5872.608190399999	-16695.922041039998	-79.75693160000446
28	-22610.633916559997	-5877.6253716	-16658.10741344	-74.90113151999685
29	-22678.94167672	-5886.865257519999	-16711.26149736	-80.81492183999944
30	-22665.487431760004	-5882.48920208	-16711.333211279998	-71.66501840000637
31	-22642.6714572	-5888.26350328	-16679.3954112	-75.01254272000006
32	-22669.034691520003	-5855.409786239999	-16729.745224	-83.87968128000648
33	-22700.55111224	-5877.31033744	-16753.94524416	-69.29553063999629
34	-22744.352807839998	-5868.09884568	-16796.699927679998	-79.55403447999925
35	-22715.588120480003	-5857.1128120799995	-16797.4657316	-61.00957680000283
36	-22770.95353256	-5905.53491912	-16790.92806568	-74.49054776000048
37	-22695.026257600002	-5865.7535844	-16767.88582536	-61.38684783999997
38	-22687.86137528	-5847.3525315199995	-16768.00181296	-72.50703080000312
