frame	complex	receptor	ligand	dG
0	-22850.1784644	-5929.840951839999	-16845.8603484	-74.47716415999821
1	-22777.279735840002	-5882.8140150399995	-16817.80604688	-76.65967392000312
2	-22777.435996	-5903.57896568	-16784.163592160003	-89.69343815999673
3	-22840.158734239994	-5905.963950480001	-16863.84434328	-70.35044047999327
4	-22749.53435816	-5892.13258872	-16792.78783432	-64.61393511999995
5	-22744.67307112	-5911.3192336	-16761.98266952	-71.37116800000149
6	-22872.0804756	-5967.61703392	-16825.221711039998	-79.24173064000206
7	-22768.822354000004	-5931.720729680001	-16754.74541496	-82.35620936000123
8	-22829.334150000002	-5931.01892544	-16818.14348696	-80.1717376000015
9	-22765.56787544	-5903.481295119999	-16782.8871456	-79.19943471999795
10	-22857.690880079997	-5920.891595440001	-16848.27573432	-88.52355031999832
11	-22829.30797768	-5939.3613824	-16802.08108536	-87.86550992000048
12	-22859.156774480005	-5955.4303018400005	-16819.44271048	-84.28376216000106
13	-22907.22145064	-5932.03078624	-16893.80110152	-81.3895628800019
14	-22837.34303632	-5907.84297072	-16850.22936032	-79.27070527999604
15	-22897.92227264	-5941.74494544	-16879.18628504	-76.99104215999978
16	-22919.83864784	-5942.020818079999	-16899.6199476	-78.1978821599987
17	-22891.254200400002	-5913.358005600001	-16892.20040016	-85.6957946399998
18	-22832.25277472	-5921.8585864	-16825.69090944	-84.70327888000247
19	-22855.904181439997	-5918.97412128	-16859.108900799998	-77.821159359999
20	-22898.8857028	-5924.2334024	-16893.683661040002	-80.968639359995
21	-22849.027256	-5921.7148224	-16849.21981816	-78.09261544000037
22	-22863.8842184	-5952.1641816	-16831.36057168	-80.35946511999646
23	-22835.1960404	-5918.3279604	-16832.89732016	-83.97075984000185
24	-22805.556494079996	-5937.94628704	-16789.73854464	-77.87166239999351
25	-22750.339990880002	-5893.36361424	-16782.36690056	-74.60947608000424
26	-22763.6780468	-5880.28549056	-16803.980540079996	-79.41201616000399
27	-22830.191268	-5919.8958948	-16835.02256216	-75.27281103999849
28	-22832.4737216	-5900.983012080001	-16854.33826776	-77.15244176000124
29	-22848.604727280002	-5904.1283308	-16856.305680719997	-88.17071576000308
30	-22787.13356712	-5904.511515599999	-16802.446231839996	-80.17581968000377
31	-22776.222974320004	-5919.213882160001	-16780.88379688	-76.12529528000232
32	-22803.35803288	-5872.669415920001	-16849.129594160004	-81.55902279999646
33	-22759.760292799998	-5897.63590208	-16793.389832319997	-68.73455839999951
34	-22770.432966	-5896.613496479999	-16802.73999432	-71.07947520000016
35	-22778.8961008	-5887.013014560001	-16825.6825308	-66.20055543999842
36	-22783.81173944	-5866.79607392	-16851.00678832	-66.00887720000173
37	-22781.888780720004	-5919.32677264	-16788.926248639997	-73.63575944000695
38	-22782.695693600002	-5916.84199232	-16771.09223648	-94.7614648000017
39	-22849.005278720004	-5914.58937864	-16854.589474080003	-79.82642599999963
40	-22845.7346796	-5937.133602880001	-16827.0135324	-81.58754431999841
41	-22750.164483599998	-5878.96336912	-16794.93696624	-76.26414823999949
42	-22836.651251200004	-5888.20901472	-16878.36411032	-70.07812616000592
43	-22852.260693679997	-5900.417072560001	-16874.984467680002	-76.85915343999295
44	-22872.95627376	-5893.208687920001	-16892.33678232	-87.41080352000063
45	-22788.56229	-5907.82663952	-16796.01921712	-84.71643336000125
46	-22901.83142856	-5933.67112528	-16889.009443839997	-79.1508594400002
47	-22873.522396559998	-5939.33847384	-16845.62415488	-88.55976783999722
48	-22782.96761744	-5890.83352064	-16814.36347528	-77.77062152000144
49	-22740.453042959998	-5903.45359752	-16755.09375616	-81.90568927999993
50	-22831.323901120002	-5903.660765920001	-16856.59404912	-71.06908607999867
51	-22813.005502080003	-5911.2274376	-16815.25025024	-86.52781424000568
52	-22842.28955432	-5968.17208008	-16809.632212	-64.48526223999943
53	-22797.95705664	-5920.06121432	-16810.05000408	-67.8458382400022
54	-22864.92138944	-5936.55321096	-16856.62477344	-71.74340504000429
55	-22776.1726924	-5914.001014480001	-16783.81010704	-78.36157087999891
56	-22842.020760960004	-5937.28980256	-16828.84029192	-75.89066648000153
57	-22831.367059840002	-5918.22706616	-16836.23896536	-76.90102832000048
58	-22895.581215759998	-5950.9983124	-16861.3523652	-83.2305381599981
59	-22816.180624800003	-5932.531410239999	-16807.67892696	-75.97028760000467
60	-22781.41893416	-5934.6543136	-16783.3371684	-63.42745215999821
61	-22779.420738880002	-5901.138317280001	-16798.14149264	-80.14092896000147
62	-22805.801159119997	-5917.39127008	-16810.997994960002	-77.41189407999627
63	-22790.894297120005	-5891.93083584	-16831.69133768	-67.2721236000034
64	-22820.35105336	-5909.00042864	-16832.468999599998	-78.88162512000054
65	-22822.119865919998	-5920.38321344	-16836.15896776	-65.57768471999952
66	-22908.29806912	-5945.041057439999	-16883.251976239997	-80.00503544000094
