time	total_energy	polar_energy
500	-12.304372537600008	81.599316
501	-13.817165748799999	83.841542
502	-8.8673656888	80.19789
503	-10.30765542	81.074204
504	-12.774751196000004	81.076534
505	-11.153546587199997	79.92923
506	-14.092622068	85.325102
507	-17.339976375199996	94.84403
508	-13.959816606399997	82.501326
509	-12.487342431200002	85.317982
510	-16.870604683200007	96.100602
511	-15.642399511999999	90.473892
512	-12.399401086399997	85.441232
513	-14.012617956799994	90.984184
514	-15.699575559999996	92.42476
515	-12.8190264184	84.500902
516	-12.514897112799995	85.040674
517	-12.185587964800003	85.57076
518	-14.564047596000009	85.719894
519	-12.002731106399992	81.378978
520	-11.890271905599997	83.200682
521	-14.884289168000002	88.38457
522	-13.392204231199994	89.377702
523	-13.418109740800002	81.741442
524	-11.957657324800003	81.817004
525	-12.574936908000002	83.282686
526	-10.92716500479999	81.857708
527	-10.936696059200006	86.121276
528	-12.797729928000006	93.714962
529	-13.089526850399999	88.207374
530	-11.779967668800001	81.721976
531	-13.935365459200007	85.036954
532	-13.267249350399997	91.219166
533	-16.067279660799997	96.18748
534	-12.621868685600003	85.010716
535	-12.734989150399993	86.43638
536	-14.205530850400008	93.967286
537	-13.91897220960001	89.2605
538	-10.080728703199991	85.593928
539	-15.298905481599995	93.930684
540	-11.789769977599999	84.010452
541	-12.403044745600006	91.692442
542	-12.767439548000004	87.458506
543	-13.210771083199997	87.464778
544	-14.803616510400005	94.255584
545	-13.822813375999988	85.090468
546	-11.122336965599995	83.908904
547	-13.179523723199994	85.957952
548	-11.907878189599987	84.978682
549	-9.6082929968	83.513934
550	-10.3247786568	83.81207
551	-13.321406030400013	91.926482
552	-12.700009559200002	87.307064
553	-10.739216160000009	84.883546
554	-11.370141918399996	84.749368
555	-9.798746091200012	81.030262
556	-13.146555183199995	91.737758
557	-10.467103379199985	85.598038
558	-10.396487719200003	85.573964
559	-10.2382830832	84.48218
560	-13.744956916799998	89.81515
561	-13.135926023200014	85.563572
562	-13.972800539999998	82.31809
563	-12.683313881600002	81.756026
564	-12.908740395199992	87.82237
565	-13.776618148000004	82.322658
566	-13.908017128000001	87.86389
567	-11.265120079200011	82.895392
568	-18.070005410399986	80.830398
569	-13.2887246128	81.73418
570	-10.796923952000006	79.513548
571	-13.03031648640001	85.468486
572	-13.409750043200003	86.138958
573	-13.674792151999991	84.874018
574	-9.826353931199993	77.550488
575	-12.78545900719999	83.923736
576	-11.330532492799994	79.876282
577	-11.526831523999999	83.144298
578	-12.625172997599993	78.40967
579	-14.117028948000005	82.678372
580	-14.746460175199992	86.695406
581	-14.01558493919999	83.650536
582	-14.095132321599994	80.350108
583	-10.12949978720001	80.861672
584	-13.587020530399993	81.770712
585	-11.636892747200003	79.034202
586	-12.186211170400004	79.9512
587	-14.081258985600005	81.447594
588	-15.348322524	81.855934
589	-13.643703408799993	84.11072
590	-11.158672080799992	83.92694
591	-14.76075333199999	85.437942
592	-14.041135153600008	83.165184
593	-14.733050178399996	83.537428
594	-14.37089077439999	83.285296
595	-14.435991347200002	81.042564
596	-11.387914887200001	79.60368
597	-14.84695606799999	81.005694
598	-11.945852867999994	81.52115
599	-11.014637478400008	80.179228
600	-11.059805880800003	80.872232
601	-15.127723948799998	83.979488
602	-11.446445699199998	85.195056
603	-16.14162513999998	84.434796
604	-17.775821305599997	81.767746
605	-15.3474191504	91.789442
606	-10.908756336799996	84.092394
607	-11.540608212799999	86.66654
608	-11.277508108000003	82.34679
609	-11.148912631200009	85.960026
610	-13.412879009599994	81.71996
611	-7.843704754399994	76.482234
612	-18.108081986400006	80.85799
613	-23.088759611999997	77.905036
614	-18.993402402399994	77.277364
615	-15.090426154399996	85.852788
616	-14.544857919200005	86.609658
617	-13.671571571999998	83.7582
618	-13.99799344800001	85.619146
619	-15.247233417600004	82.005178
620	-11.825303288000002	83.532196
621	-12.194939555999994	83.749114
622	-12.740481432799992	80.48433
623	-6.715749182399998	72.84914
624	-16.10448955359999	83.43873
625	-16.056685121600005	83.901546
626	-17.408316488800004	79.10239
627	-13.649280412000003	79.909558
628	-16.370313752800012	81.9057
629	-14.419703289600015	83.40162
630	-16.291573863199993	81.963386
631	-15.546944932800002	83.56098
632	-8.55181145039999	76.380888
633	-16.08086020639999	83.403964
634	-3.8688264680000124	62.34975
635	-12.914888463999999	77.573464
636	-14.30516629520001	81.205574
637	-16.552631885600007	82.15991
638	-12.11363113600001	82.82914
639	-14.817428016000003	82.947108
640	-12.985518518399989	84.331422
641	-15.045224875200002	81.561464
642	-13.141636023199998	81.856608
643	-9.556981577600004	77.483968
644	-15.202453726400003	82.737094
