time	total_energy	polar_energy
500	-23.064130784800014	75.721792
501	-26.892492334399996	70.255266
502	-24.429063856800013	73.589756
503	-26.443080676799987	69.717314
504	-32.041064223199996	69.826976
505	-24.475002067200002	73.34516
506	-24.55698224560001	74.140222
507	-27.390095662400007	73.2916
508	-19.88443088799999	73.479954
509	-28.241999556000003	69.363118
510	-26.147913973600016	70.89751
511	-22.7845214912	73.073738
512	-21.243326848799995	79.771762
513	-29.514081712800007	65.892016
514	-26.870141953600015	72.94684
515	-26.951814754400004	70.038316
516	-19.705822479200005	69.628908
517	-22.740160351999997	69.319874
518	-25.875438618399986	70.45098
519	-24.63603624160001	67.241588
520	-27.5961999176	69.200868
521	-23.13641805919999	75.84402
522	-25.405728466399992	72.303492
523	-23.4001426456	75.175054
524	-22.688449736000006	69.64625
525	-21.529800564	72.088632
526	-20.040730611999997	74.011942
527	-27.70490441359999	70.621578
528	-27.3804147472	71.641038
529	-26.058655097599992	71.288814
530	-20.013944557600013	74.780988
531	-28.817376900799996	69.062688
532	-25.723292533600002	69.89995
533	-24.946049472799995	76.753094
534	-24.160123508800005	74.494592
535	-20.458015221600007	73.899774
536	-18.9736425504	77.96207
537	-18.6383719464	72.042514
538	-22.132654478399996	74.408222
539	-19.651694222400003	73.213952
540	-26.357908480000003	71.59152
541	-22.89303170960001	74.287684
542	-21.215672043199994	75.068532
543	-16.72350912640001	74.01937
544	-26.80958876	71.92875
545	-24.758627044	73.23937
546	-27.109561291200002	70.696406
547	-24.725431765599993	72.031616
548	-27.571192462399996	70.942106
549	-22.068436915199996	77.213472
550	-25.088568648800006	70.651582
551	-23.596775345599994	72.869478
552	-25.393504183200008	72.623362
553	-26.729974838400015	69.460488
554	-26.175042929600007	71.742318
555	-22.539303065599988	72.47879
556	-15.689506851200015	71.930782
557	-25.039076212799998	70.339704
558	-21.563289208800008	75.664622
559	-18.706839461600005	71.290026
560	-21.4087668584	75.270684
561	-22.3384229448	76.811596
562	-22.865800188799994	74.937652
563	-19.296922205599994	77.447866
564	-26.290555951199998	70.597204
565	-20.077304009600006	69.88784
