time	total_energy	polar_energy
500	-0.4314795519999998	4.398852
501	-0.18088268879999955	2.950794
502	-0.26407415040000004	4.208538
503	-0.8306791663999997	5.361372
504	-0.25464842	3.68086
505	-0.463171652	4.61038
506	-0.32259756800000017	2.091952
507	-0.15220607760000002	3.306018
508	-0.24795485520000027	3.392934
509	-0.2775324008	3.548432
510	-0.2133509056	3.336316
511	-0.2891132287999999	3.732556
512	-0.3825693328000003	3.963906
513	-0.5007100536000002	2.54976
514	-0.31987655280000027	4.26181
515	-0.3440891936	3.550914
516	-0.36195595439999995	4.169058
517	-0.4014518191999995	4.327052
518	-0.3229563648000003	4.27965
519	-0.22388578399999948	4.225874
520	-0.2956968287999998	3.820212
521	-0.5573716576000003	3.538828
522	-0.5016037392000006	4.856756
523	-1.022432939199999	4.803562
524	-0.5287148592000002	3.150734
525	-0.13890582640000038	3.119602
526	-0.2936943912000005	4.465732
527	-0.3681240207999998	3.331812
528	-0.45489926479999987	3.287824
529	-0.4842012727999996	4.896978
530	-0.23391595679999988	3.511856
531	-0.22375931679999994	3.65142
532	-0.32565050000000006	3.246908
533	-0.2362164127999996	3.419954
534	-0.3526702336000002	3.456768
535	-0.3047020792000008	4.296772
536	-0.2191682752	4.300818
537	-0.2391655975999995	3.89204
538	-0.19191927599999964	3.459328
539	-0.34228637920000027	3.32875
540	-0.24275725280000043	2.808992
541	-0.3833332608	4.406668
542	-0.2636380584000003	3.532944
543	-0.18491116719999934	4.532738
544	-0.2964425744000002	3.447662
545	-0.120784	3.477702
546	-0.047473999999999794	2.772444
547	-0.04315599999999997	1.284442
548	-0.08588800000000019	3.680152
549	-0.14646000000000026	3.932068
550	-0.30901294799999973	4.361654
551	-0.4215059224000006	4.43833
552	-0.14941238720000005	3.805746
553	-0.20114603520000013	3.72763
554	-0.3836595432000003	4.468588
555	-0.143656	3.464336
556	-0.4524343791999996	4.757642
557	-0.20959622160000016	2.984162
558	-0.2043725856000003	4.437174
559	-0.2942400432000002	3.885396
560	-0.1759780192000001	4.489552
561	-0.37651034559999985	4.786998
562	-0.21793002159999975	3.883734
563	-0.1401640000000004	4.157958
564	-0.32237542080000026	2.268754
565	-0.6068355672000003	3.668262
566	-0.2506390840000008	4.277508
567	-0.074932	3.258356
568	-0.34569114880000046	5.029152
569	-0.12606000000000028	3.74544
570	-0.133384976	2.40943
571	-0.1321255423999999	3.29604
572	-0.14783000000000035	3.69318
573	-0.1818958159999997	4.102914
574	-0.2679558015999995	4.732694
575	-0.2678364936000003	4.103968
576	-0.22987360399999981	2.598962
577	-0.12059400000000009	3.09811
578	-0.15314444399999955	3.768794
579	-0.1839559999999998	2.40379
580	-0.23249120639999982	2.518466
581	-0.2607756152000001	3.814826
582	-0.26315639279999986	4.422188
583	-0.17162567039999987	2.811582
584	-0.27513168159999946	4.610992
585	-0.44426082079999984	3.734484
586	-0.26686243760000017	2.900352
587	-0.24848487440000058	4.557754
588	-0.19799566880000047	3.834338
589	-0.7137979720000001	2.523682
590	-0.42545544000000024	3.466522
591	-0.6398230327999997	4.796132
592	-0.1499516607999999	2.028416
593	-0.14687799999999918	4.363088
594	-0.25289295600000017	4.725388
595	-0.3591651976	3.38483
596	-0.38311588240000016	3.06573
597	-0.000512000000000068	-1.411928
598	-0.08096199999999998	2.041938
599	-0.1371019999999996	2.822648
600	-0.12757400000000008	2.063342
601	-0.10746999999999973	2.9308
602	-0.10881399999999974	4.121844
603	-0.3823112335999998	3.810416
604	-0.11494800000000005	2.750928
605	-0.10336800000000013	2.709762
606	-0.30285757839999994	3.432204
607	-0.14336400000000005	3.634356
608	-0.11719400000000002	0.539616
609	-0.16792505520000015	2.023672
610	-0.14381896000000055	3.19777
611	-0.40240570240000006	2.045576
612	-0.3874726839999997	3.380382
613	-0.38148338639999957	4.57903
614	-0.17527999999999988	2.728714
615	-0.1933480000000003	2.592402
616	-0.2715311976000003	3.60688
617	-0.15641399999999983	2.837464
618	-0.4842195376000011	4.783522
619	-0.44132472720000004	3.97893
620	-0.12052399999999963	3.708924
621	-0.29926278159999964	6.09751
622	-0.2047258904000001	6.093514
623	-0.6954436800000005	6.70904
624	-1.288730684	6.623014
625	-0.4756185535999996	6.713202
626	-0.16410250559999978	2.173842
627	-0.9877459104000001	-1.091306
628	-0.4371154624000002	3.754546
629	-2.6720037536000003	8.840432
630	-1.7768808432000005	8.17897
631	-0.8989703408000003	1.546656
632	-0.7717238200000001	-0.74526
633	-1.927640875999999	8.93936
634	-0.3939621871999999	6.628426
635	-1.322974960000001	7.76497
636	-0.2781104648000004	5.420234
637	-0.5336817776000002	4.946018
638	-0.48252166239999933	5.866336
639	-0.35949784159999976	4.365444
640	-0.6186418768	7.919952
641	-0.2365831568000001	3.54119
642	-0.2216629112000007	4.87535
643	-1.3456561552	9.188696
644	-0.9941666840000012	8.283178
645	-0.15478199999999953	3.192874
646	-0.08641387200000006	2.442384
647	-0.5920249024000008	7.676442
648	-0.40684628319999994	7.889242
649	-0.34239700160000064	5.845346
650	-0.16887000000000008	4.89245
651	-0.16203000000000012	3.464932
652	-0.3087352447999997	5.42709
653	-0.20176821360000052	6.697658
654	-0.3724981903999991	5.183728
655	-0.4185875440000001	5.784364
656	-0.17450800000000033	4.742422
657	-0.5165363520000005	7.690674
658	-0.5479020280000007	6.687224
659	-0.7472392496000004	7.621394
660	-0.39261194960000045	6.740126
661	-0.2374365832	5.235384
662	-0.2780809752000003	6.484006
663	-0.23401167439999962	5.13278
664	-0.3211428895999997	5.076746
665	-0.17137528639999922	5.584386
666	-0.3018782263999998	4.806078
667	-0.13814599999999988	5.386782
668	-0.28861879039999966	5.657476
669	-0.147532	4.033222
670	-1.5025620480000001	9.522264
671	-0.49725883839999985	7.258656
672	-0.4881075151999993	6.689992
673	-0.23272233760000066	6.047934
674	-0.2819605951999999	6.61176
675	-0.21012257199999973	4.917968
676	-0.5746983863999994	7.179064
677	-0.2373951567999995	5.151538
678	-0.2772046728000005	5.809896
679	-0.2627021040000004	6.009416
680	-0.2566300455999999	4.93365
681	-0.5322957911999997	7.312756
682	-0.04408400000000001	-0.548278
683	-0.04826200000000025	2.367622
684	-0.09363600000000005	2.90115
685	-0.10548199999999985	2.770424
686	-0.23112198960000035	3.843052
687	-0.5891789391999995	3.255266
688	-0.23896026319999986	3.56713
689	-0.40822978479999983	3.363124
690	-0.45082378399999934	4.112008
691	-0.40482130639999986	1.641672
692	-0.22983592959999982	2.419368
693	-0.3310584088000003	4.84173
694	-0.3511204472	3.559638
695	-0.7634341088000003	3.462976
696	-1.0569294287999997	5.614522
697	-0.7577540103999998	4.357362
698	-0.3755373991999998	5.08741
699	-0.7418987736	4.586114
700	-0.35789655440000034	3.615906
701	-0.2513521039999995	4.981402
702	-0.4110683560000003	1.903992
703	-0.13713582640000033	4.36257
704	-0.46470564000000014	3.733014
705	-0.2624693927999997	3.757514
706	-0.7318288535999993	7.456034
707	-1.087814791199999	7.862306
708	-0.19684033200000023	3.767334
709	-0.11574799999999996	3.671138
710	-0.18939260639999983	3.88711
711	-0.8936985280000006	7.698278
712	-0.46262773599999973	6.735314
713	-0.9048107472000007	8.05173
714	-0.7439141999999992	7.557952
715	-0.9211277872000004	7.959686
716	-0.3681696559999996	6.195868
717	-0.6169599463999997	8.564648
718	-0.26428307760000047	5.554834
719	-0.26267845759999997	5.241272
720	-0.6035746991999992	5.96452
721	-0.9275666512000003	7.807622
722	-0.2871414935999994	6.124002
723	-0.7281788951999999	7.161346
724	-0.35289021679999966	7.595046
725	-0.6011292168	5.835342
726	-0.9585533920000007	8.231784
727	-0.5104856800000006	6.498632
728	-0.2749152808000006	4.563844
729	-0.2409085728	0.324508
730	-0.15338800000000008	2.10335
731	-0.2938283048000001	5.293078
732	-0.2712010215999999	2.220626
733	-0.21013614240000017	3.154514
734	-0.38249890320000035	5.054594
735	-1.0862069511999994	-3.057952
736	-1.4187355928000003	5.182144
737	-1.6277987903999989	10.013488
738	-1.6915167720000017	10.513646
739	-1.3621349879999995	11.443932
740	-0.6196492056	1.477938
741	-1.3440002192000005	10.69952
742	-1.7155720287999994	11.412494
743	-0.9593501008000005	10.531304
744	-1.8004560576000013	11.094432
745	-1.0682090432000002	9.643964
746	-0.36647559279999997	7.504194
747	-1.5310937703999992	12.482196
748	-2.321988084000001	14.064452
749	-0.9809789880000008	9.562402
750	-0.34563910400000053	6.20754
751	-1.2094745583999997	9.789204
752	-2.0513052184000005	10.678682
753	-0.2344741784000001	7.348838
754	-1.9126674784	12.876212
755	-0.3552692687999998	6.742402
756	-0.4001158311999998	5.418274
757	-0.9328103712000002	9.601124
758	-0.7725550327999997	9.326098
759	-0.6014353552000012	7.734666
760	-1.7149062936000008	9.345742
761	-1.6896274903999993	12.083346
762	-3.1358628671999997	11.991724
763	-2.9501087704000017	12.811744
764	-2.2571632528000007	10.858276
765	-1.0785132295999986	8.697512
766	-0.8267415719999999	11.71219
767	-0.4484809864000003	7.475562
768	-0.5666351759999992	8.66427
769	-0.519648582400002	8.49494
770	-0.6777805712	6.680724
771	-0.5537984167999999	7.329094
772	-0.7673008159999986	8.974766
773	-0.7506029367999992	9.826178
774	-2.259293814399998	11.457572
775	-1.3400532223999997	8.942816
776	-0.3561621839999999	0.272668
777	-2.099636130400001	10.141974
778	-1.4798729792000012	9.934448
779	-1.1850751815999994	6.685556
780	-0.39067603840000037	5.90935
