time	total_energy	polar_energy
500	-1.9085559144	-0.019194
501	-1.1473011744000003	-2.638058
502	-1.7162984304	5.778614
503	-1.0599543848000001	2.969534
504	-1.7759308416000001	2.32636
505	-2.1494421847999994	2.660146
506	-2.1336792832	2.137304
507	-0.8084814479999999	0.473758
508	-1.2455582832	1.230808
509	-1.3250448984000003	1.631198
510	-1.0116310744	2.490424
511	-1.5240932512000005	6.170964
512	-1.8030105751999999	-0.067906
513	-2.1820750263999997	3.828056
514	-1.8649292568	4.011856
515	-1.3841698839999999	-0.716228
516	-1.5173840855999998	3.97302
517	-1.8576794151999996	1.601004
518	-1.3720782343999998	-0.817338
519	-0.23813558480000008	2.971892
520	-0.9805957895999998	-0.49952
521	-1.9821754431999998	2.378312
522	-0.6185152623999997	-0.712066
523	-1.0725382839999997	-0.682642
524	-1.3976383968	3.56106
525	-1.9027023672	2.069552
526	-1.7354578536	1.850272
527	-1.8387994056000003	3.96428
528	-1.3098649776000002	1.632216
529	-1.7048140256000006	4.795074
530	-1.2282251064	-1.528978
531	-0.5562820127999999	2.64481
532	-1.5933812904000004	3.222946
533	-0.5993084848000001	1.494724
534	-1.7042982256	-0.567332
535	-2.3718742079999995	5.741236
536	-2.0195150487999998	-1.867516
537	-2.868218636	5.379284
538	-0.7419478368000001	1.347462
539	-1.2838681424	0.764472
540	-2.2847869671999996	6.601424
541	-0.3708140919999997	2.038768
542	-2.45344078	1.672166
543	-1.4441009960000013	8.276126
544	-1.3713671695999998	0.437626
545	-0.796107124	-0.919292
546	-0.7661509272000001	-0.659784
547	-0.8099683039999996	5.267232
548	-1.1120400872	2.02729
549	-2.659448448000001	6.905576
550	-1.1853090080000002	-0.699244
551	-0.6830756871999999	-2.58004
552	-2.0611672432	3.572842
553	-1.3732824192000002	-0.274448
554	-1.1356036576000001	-0.917456
555	-0.8423835216	-1.679814
556	-1.1761003912000003	-2.12121
557	-1.3845468912	1.549236
558	-1.7438415576000006	5.617518
559	-1.8091970552	2.402572
560	-1.0592423327999998	-1.220756
561	-2.1130670160000005	3.82158
562	-1.242776428	4.565654
563	-1.8377586415999998	-0.380216
564	-0.6814039000000001	-1.523752
565	-2.450769684	-0.186216
566	-1.4436186784	0.80863
567	-1.1063897008000003	2.260824
568	-1.0837100336	1.506318
569	-1.6191574639999997	1.827032
570	-1.9147355127999992	8.849382
571	-7.380952327999999	7.06379
572	-1.081227568	-3.13601
573	-0.6755446736000006	-4.023506
574	-2.45838584	3.177838
575	-0.5844179247999997	-2.534142
576	-1.8114708783999995	8.341116
577	-1.119946651199998	9.644068
578	-0.9589821503999997	6.198426
579	-2.1682891959999995	12.69018
580	-0.9300246096000013	8.054324
581	-0.7137119928000009	8.174274
582	-0.7442901975999997	3.34228
583	-0.7864196688000005	4.677042
584	-0.49651875519999994	-0.424188
585	-0.07768998079999995	-0.15944
586	-0.5513225216	2.31936
587	-0.3102198287999997	3.832542
588	-0.54679858	0.205398
589	-0.6846933303999998	6.966214
590	-0.6956474272000008	7.65457
591	-0.9697113152	8.196148
592	-1.667570051199999	11.86452
593	-1.7510777304	10.927198
594	-1.6610797840000013	11.940358
595	-2.1394506943999994	10.808398
596	-2.6514703544000002	13.445166
597	-0.7898627407999997	3.12533
