,complex,receptor,ligand,delta
0,-23928.23506008,-7072.54385912,-16813.24627264,-42.444928319997416
1,-23926.865860079997,-7067.0003568,-16813.64454816,-46.22095511999942
2,-23977.628024640002,-7058.66663832,-16872.93795872,-46.02342760000465
3,-24057.306423119997,-7103.80756128,-16897.55255664,-55.94630519999919
4,-24031.63132456,-7084.33100984,-16918.857786959998,-28.442527760002122
5,-24026.869928319997,-7119.35898216,-16865.032952,-42.47799415999543
6,-23958.522825840002,-7056.47168176,-16858.87422536,-43.17691872000432
7,-24035.371920159996,-7061.594424080001,-16935.07946344,-38.69803263999347
8,-24017.79427608,-7067.83824176,-16900.282208319997,-49.67382600000201
9,-23982.915750639997,-7059.84324144,-16886.22299592,-36.849513279994426
10,-24010.5758208,-7061.7959863999995,-16921.82227024,-26.957564159998583
11,-24027.05713192,-7060.445903919999,-16920.290713280003,-46.32051471999512
12,-24028.34033528,-7087.72029432,-16907.10018296,-33.519858000003296
13,-24050.8167988,-7059.155435680001,-16955.4066396,-36.25472351999633
14,-24081.000246879998,-7068.33178008,-16970.51499792,-42.1534688799984
15,-24060.817894480002,-7089.17061104,-16940.190304159998,-31.456979280002997
16,-24027.204096559995,-7043.958125839999,-16940.934609040003,-42.31136167999284
17,-24039.711842560002,-7030.99298248,-16967.5668844,-41.15197568000076
18,-24086.43990912,-7061.41109512,-16986.915967599998,-38.112846400003036
19,-23981.82462008,-7068.12604992,-16875.47693664,-38.22163351999916
20,-24035.63516824,-7062.02687064,-16937.52439464,-36.08390295999925
21,-24088.22977344,-7053.684827919999,-16990.02268088,-44.522264640003414
22,-24030.83907224,-7062.1980346400005,-16929.194489119996,-39.44654848000209
23,-24027.617410239996,-7082.61598864,-16905.905793679998,-39.09562791999633
24,-24102.65889744,-7057.16041736,-17002.11915504,-43.37932504000128
25,-24045.611810960003,-7113.71704208,-16891.8451372,-40.04963168000177
26,-24054.8748596,-7065.48771368,-16944.99556928,-44.39157664000231
27,-24068.81685768,-7065.206044879999,-16965.37335552,-38.237457279999944
28,-24013.874596240003,-7051.50874424,-16926.008006160002,-36.357845840000664
29,-24085.18477264,-7076.54588472,-16958.59482584,-50.04406208000364
30,-24078.702288000004,-7096.53076104,-16946.704044560003,-35.467482399999426
31,-24197.872413600002,-7121.61937352,-17046.25977656,-29.993263520002074
32,-24031.99809304,-7100.68829784,-16893.39512168,-37.91467352000109
33,-24081.483446079998,-7104.806911999999,-16925.67169984,-51.00483423999685
34,-24047.025410079998,-7084.105979280001,-16922.0666928,-40.85273799999777
35,-24121.274460719997,-7077.276338320001,-17000.211248960004,-43.78687343999263
36,-24125.722847359997,-7096.619690400001,-16987.279491600002,-41.823665359996085
37,-24035.1597992,-7081.35971664,-16920.13981432,-33.66026824000073
38,-24090.60540856,-7125.29149448,-16931.0218976,-34.29201648000162
39,-24032.596992720002,-7075.919734720001,-16917.1933752,-39.4838828000029
40,-24057.71789824,-7084.80965568,-16934.483297519997,-38.42494504000206
41,-24071.514506720003,-7047.7144202399995,-16991.9127564,-31.887330080000538
42,-24084.468684080002,-7065.86146464,-16977.0835472,-41.52367224000409
43,-24073.248652,-7089.493330879999,-16943.32308072,-40.43224039999768
44,-24043.71510144,-7070.74789592,-16932.962917920002,-40.00428760000068
45,-24053.797586480003,-7057.5175464799995,-16957.58067992,-38.699360080005135
46,-24018.42422928,-7060.43284568,-16927.257971280003,-30.733412319998024
47,-24145.42975664,-7062.26030152,-17047.38322848,-35.78622663999704
48,-24082.98468952,-7076.230986,-16966.78855624,-39.965147279999655
49,-24022.9527964,-7026.23393616,-16962.67880688,-34.04005336000046
50,-24063.0512052,-7054.5688468,-16964.174788,-44.30757040000026
51,-24009.29758464,-7069.23025048,-16893.181838800003,-46.88549535999846
52,-24073.2364328,-7072.41537752,-16966.742550080002,-34.0785051999992
53,-24072.184718079996,-7089.4496636799995,-16942.31380552,-40.42124887999671
54,-24071.464432,-7073.39517048,-16960.410705039998,-37.658556480004336
55,-24088.89723712,-7107.43697576,-16952.5077204,-28.95254095999917
56,-24189.865560320002,-7092.33331272,-17059.104780160003,-38.42746744000033
57,-23998.00085272,-7078.7433371199995,-16882.38198544,-36.87553016000311
58,-24037.3658912,-7080.39814552,-16917.16040696,-39.80733871999837
59,-24052.17664104,-7068.031211039999,-16934.993042719998,-49.152387280002586
60,-24006.992713199998,-7086.33439512,-16873.45555776,-47.20276031999674
61,-24076.087043999996,-7085.28326088,-16947.8355464,-42.96823671999664
62,-24059.570276240003,-7080.909598479999,-16938.783539840002,-39.877137920004316
63,-24036.11997592,-7079.348647680001,-16922.04248168,-34.72884655999587
64,-23999.456603839997,-7050.5751912,-16912.983651279996,-35.89776136000364
65,-23951.100841360003,-7053.08130536,-16865.4628888,-32.55664720000277
66,-24010.12193112,-6992.310525520001,-16990.31221208,-27.49919351999779
67,-24028.3227108,-7058.95700416,-16935.50429528,-33.861411359997874
68,-24073.324340479998,-7024.52317096,-17018.49061136,-30.310558159995708
69,-24034.011853440003,-7023.124246320001,-16976.56410056,-34.32350656000199
70,-24063.777847440004,-7064.83584528,-16966.83691232,-32.10508984000626
71,-24032.340368000005,-7031.84121912,-16971.34283144,-29.156317440003477
72,-24082.01671112,-7058.2917048,-16986.29817568,-37.426830639997206
73,-24063.78507424,-7054.083374239999,-16972.07719344,-37.624506560001464
74,-24046.55516176,-7048.57825248,-16955.59654752,-42.38036175999878
75,-24085.923496960004,-7046.96839464,-17004.36692008,-34.588182240004244
76,-24070.062449999998,-7062.39220888,-16970.011693760003,-37.65854735999528
77,-24040.47269816,-7070.957044719999,-16930.43788464,-39.07776880000165
78,-23964.72337352,-7076.6430084,-16850.071159360003,-38.00920575999771
79,-23969.90384536,-7039.203821599999,-16886.005354,-44.69466975999967
