,complex,receptor,ligand,delta
0,-23960.36246504,-7026.159530320001,-16867.481953119997,-66.72098160000314
1,-24013.74742832,-7066.92607912,-16900.908358,-45.91299119999894
2,-24018.753775839996,-7053.71159864,-16919.417905280003,-45.62427191999086
3,-24022.588865520003,-7040.5554688,-16923.4298976,-58.60349912000311
4,-23976.37349624,-7040.37032832,-16872.672304400003,-63.330863519997365
5,-24054.809779760002,-7054.86476408,-16936.95046824,-62.99454744000104
6,-24039.473825040004,-7080.330394800001,-16898.16733824,-60.97609200000443
7,-24040.50572896,-7049.448788320001,-16928.540810720002,-62.516129919997184
8,-23988.03368448,-7041.7100884,-16894.19192304,-52.13167303999944
9,-23996.72375624,-7016.55604704,-16926.2552928,-53.91241639999862
10,-23994.79066408,-7032.60016744,-16896.17714992,-66.01334671999939
11,-23995.219585839997,-7067.80928032,-16879.123104320002,-48.28720119999707
12,-23965.688423120002,-7032.48357936,-16886.69249688,-46.51234688000113
13,-23940.839883279998,-7037.730229919999,-16860.115660239997,-42.993993120002415
14,-23918.951551120004,-7017.72543848,-16849.71812856,-51.50798408000264
15,-23905.8959596,-7010.55937288,-16854.109688559998,-41.22689815999911
16,-23866.16124392,-6971.95562264,-16853.19133536,-41.014285920002294
17,-23902.530172400002,-7023.02574928,-16835.789672400002,-43.71475071999885
18,-23934.97207192,-7041.83174264,-16851.51349128,-41.62683800000377
19,-24020.80496408,-7053.21157504,-16925.59612888,-41.99726016000204
20,-23973.85807416,-7013.288772479999,-16907.11865792,-53.450643760003004
21,-23949.21647352,-7012.594240720001,-16891.78428184,-44.837950959998125
22,-23948.29948512,-7003.93237232,-16895.82299712,-48.54411567999705
23,-23892.73554592,-6964.80849104,-16882.99481272,-44.9322421600009
24,-23901.565545119996,-6996.0026580799995,-16869.47463312,-36.08825391999562
25,-23942.29488208,-7008.67816056,-16898.970239680002,-34.64648183999816
26,-23899.003499039998,-6985.9993344800005,-16870.327706,-42.676458559999446
27,-23958.19651464,-7011.1217976,-16909.10139992,-37.97331711999868
28,-23992.9891676,-6995.27500008,-16953.4892796,-44.22488792000149
29,-23954.255097759997,-6992.490520720001,-16932.77701176,-28.98756527999649
30,-23886.155797040003,-6976.30340168,-16864.86892776,-44.98346760000277
31,-23879.211353680003,-7019.42982016,-16819.597200000004,-40.1843335199992
32,-23883.916029199998,-6962.95272648,-16876.461475120002,-44.5018275999937
33,-23914.479519120003,-7004.91744104,-16874.1247304,-35.43734768000286
34,-23850.761294319997,-6923.78180432,-16887.0741524,-39.90533759999744
35,-23814.7861352,-6957.453621999999,-16817.055930079998,-40.27658312000494
36,-23848.171626960004,-6939.6196107999995,-16858.205412239997,-50.3466039200066
37,-23959.05670968,-6989.125712240001,-16920.202755759998,-49.72824168000079
38,-23864.2275996,-6977.34101896,-16842.58139872,-44.30518191999727
39,-23871.663472639997,-6986.14916912,-16836.0612468,-49.45305671999813
40,-23911.7606988,-7004.87126808,-16846.282084320002,-60.60734639999646
41,-23942.268662000002,-7009.378736640001,-16882.72715376,-50.16277160000027
42,-23915.51102576,-7006.813630879999,-16863.558737919997,-45.13865696000357
43,-23845.022815600005,-6940.496344640001,-16854.20193368,-50.32453728000473
44,-23868.852676720002,-6944.117044400001,-16882.4804352,-42.25519712000096
45,-23894.847600400004,-6986.639814800001,-16858.91268376,-49.295101840001735
46,-23898.86764984,-6958.005242720001,-16903.5174692,-37.34493791999921
47,-23888.53919416,-6999.2869807199995,-16847.618681919997,-41.63353152000127
48,-23922.12123272,-7009.003289679999,-16875.93663344,-37.18130960000053
49,-23944.61633544,-6995.244104959999,-16901.15695896,-48.215271520002716
50,-24027.118832879998,-7012.4304553599995,-16965.398963360003,-49.28941415999725
51,-23886.214591199998,-6995.705308320001,-16846.654076400002,-43.855206479995104
52,-23933.196390160003,-6996.70374696,-16898.6290448,-37.86359840000296
53,-23898.87434376,-7002.302837279999,-16857.164432640002,-39.40707383999688
54,-23929.582259040002,-7022.942593119999,-16866.868067360003,-39.77159856000071
55,-23930.78046368,-6966.6702116,-16921.97048728,-42.139764799998375
56,-23926.28751168,-6974.868543040001,-16914.84516656,-36.57380207999813
57,-23994.10513816,-7016.5037148,-16937.312741200003,-40.288682159996824
58,-24004.6961216,-7022.652278720001,-16938.06752656,-43.97631632000048
59,-23982.031637279997,-6999.2750755199995,-16939.2793504,-43.477211359997455
60,-23954.45871352,-7010.205827119999,-16902.85529032,-41.39759608000168
61,-23894.800094559996,-7006.6936164,-16844.786328320002,-43.320149839993974
62,-23823.7640716,-6981.344093520001,-16800.445609280003,-41.97436879999441
63,-23977.78732376,-7033.730711679999,-16895.40777952,-48.6488325600003
64,-23965.039542239996,-6999.435275360001,-16922.470714320003,-43.133552559993404
65,-23837.83072976,-6995.6296026400005,-16787.586473519998,-54.614653600001475
66,-23955.68559896,-7013.72141136,-16891.7916212,-50.17256640000414
67,-23918.847023680002,-7013.88105368,-16860.83725048,-44.12871952000205
68,-23904.673040719998,-7025.73008304,-16837.58692976,-41.35602791999918
69,-23889.596877519998,-7003.18503712,-16836.87271648,-49.53912391999984
70,-23870.472460880002,-6971.817659359999,-16853.03519192,-45.61960960000215
71,-23972.6907388,-6992.551649199999,-16931.841242640003,-48.297846959998424
72,-23927.916673919997,-7004.56670752,-16882.6164432,-40.73352319999685
73,-23846.23331592,-6995.74816528,-16817.12948904,-33.35566159999871
74,-23926.551893840002,-7008.215637440001,-16879.923825359998,-38.41243104000387
75,-23843.553816800002,-6965.99414448,-16835.379504880002,-42.18016744000124
76,-23845.859862319998,-6985.647502080001,-16823.17401568,-37.03834455999822
77,-23903.94854576,-7000.0445051199995,-16871.15383512,-32.75020551999842
78,-23938.42587688,-6993.093359920001,-16914.46170616,-30.870810799999163
79,-23922.71825824,-6982.84420248,-16903.25618448,-36.617871279999235
80,-23913.32318144,-6977.88291712,-16901.08564952,-34.35461480000231
81,-23967.1280244,-7028.4784087200005,-16884.3489152,-54.30070048000198
82,-23936.15222544,-6978.462444,-16914.28652944,-43.403252000000066
83,-23903.81608112,-6960.621617919999,-16903.8486732,-39.345790000003035
84,-23908.531744319997,-6966.430950399999,-16906.76518344,-35.33561047999683
85,-23959.24169056,-6982.835635519999,-16953.85923144,-22.54682359999788
86,-23916.56321192,-6970.22347728,-16912.6366116,-33.70312304000254
87,-23959.98053592,-6968.07480512,-16948.09750952,-43.80822128
88,-24018.40507128,-7029.91566944,-16947.10237064,-41.38703119999991
89,-23886.079244319997,-7003.4061382400005,-16840.683902560002,-41.9892035199955
90,-23873.53063592,-6982.7943894400005,-16833.82569984,-56.910546639999666
91,-23873.679522320002,-6998.9757581600015,-16822.68978888,-52.013975279998704
92,-23927.417452159996,-6985.902778160001,-16886.89488296,-54.61979103999329
93,-23875.891681920006,-6989.74233824,-16824.0852096,-62.06413408000299
94,-23916.14297336,-6938.616158960001,-16938.7500488,-38.776765599999635
95,-23901.032116,-6972.58154328,-16893.92825144,-34.52232127999741
96,-23946.04703512,-6988.23789376,-16921.99164064,-35.81750071999704
97,-23897.40213872,-6996.87773848,-16870.56283952,-29.961560719999397
98,-23868.897977760003,-6970.89371952,-16864.85196408,-33.15229416000511
99,-23843.7919996,-6952.32234824,-16855.4826216,-35.98702975999913
100,-23868.18836872,-6949.886637920001,-16854.65607128,-63.645659519999754
101,-23933.23130352,-7003.6384096,-16874.50511728,-55.08777663999717
102,-23820.210023440002,-6946.95171112,-16828.953388079997,-44.304924240004766
103,-23957.56773032,-6983.5813556,-16929.5163872,-44.46998751999854
104,-23905.3211736,-7028.707187680001,-16830.268192879998,-46.34579304000363
105,-23822.87541832,-6984.90427216,-16789.506350800002,-48.4647953599997
106,-23885.70128776,-7024.69109112,-16813.761885760003,-47.24831087999701
107,-23920.8786384,-7003.46209144,-16875.066978479997,-42.349568480003654
108,-23994.05284032,-7030.31300056,-16920.718178,-43.021661760001734
109,-23867.81884232,-6975.70722016,-16844.96821192,-47.14341023999805
110,-23924.1335068,-7004.9882448,-16871.22336672,-47.92189528000017
111,-23914.988712639995,-7025.379585680001,-16842.5779864,-47.03114055999686
