,complex,receptor,ligand,delta
0,-23767.42213896,-6854.62029032,-16863.48420912,-49.31763951999892
1,-23785.98420992,-6854.79571568,-16872.20791712,-58.98057712000082
2,-23799.30620616,-6855.333240239999,-16895.081448800003,-48.89151711999875
3,-23826.30363632,-6855.67915184,-16921.05667552,-49.56780896000055
4,-23763.46304536,-6856.1074627200005,-16853.7803656,-53.57521704000101
5,-23726.514696640003,-6792.01516496,-16879.56418544,-54.93534624000313
6,-23690.483603919998,-6805.60544008,-16841.98804528,-42.8901185600007
7,-23716.06785328,-6818.86012536,-16849.5499296,-47.65779832000044
8,-23758.807049760002,-6840.992177680001,-16864.80651048,-53.00836160000108
9,-23757.681509280003,-6853.08613704,-16852.436736400003,-52.15863584000181
10,-23802.70960824,-6854.253762079999,-16893.21537768,-55.240468479998526
11,-23746.95464048,-6840.12951168,-16851.7192132,-55.105915600001026
12,-23770.539526,-6856.62084032,-16877.823374559997,-36.095311120003316
13,-23754.8702844,-6848.6712489599995,-16867.37673728,-38.82229816000108
14,-23715.257832400002,-6791.5726836,-16861.70034288,-61.984805920001236
15,-23834.715860000004,-6862.58629584,-16911.231723840003,-60.897840320001706
16,-23736.361346159996,-6827.190566000001,-16853.3079156,-55.862864559996524
17,-23805.10310704,-6847.4716476,-16896.422519760003,-61.20893967999655
18,-23672.95374368,-6832.635212159999,-16786.661081680002,-53.65744983999684
19,-23751.87481752,-6855.85801808,-16840.437134480002,-55.57966496000154
20,-23838.333841519998,-6882.28542128,-16912.76370856,-43.28471167999669
21,-23772.855577519997,-6836.49962312,-16882.479238319997,-53.87671608000164
22,-23746.78148456,-6880.72844024,-16832.43895768,-33.614086640001915
23,-23798.946861119995,-6853.2501301600005,-16906.27251528,-39.4242156799919
24,-23711.6881196,-6848.326818160001,-16816.254750160002,-47.1065512799978
25,-23762.227595679997,-6856.3677276,-16869.74467168,-36.11519639999824
26,-23749.15761784,-6817.739714079999,-16876.34128496,-55.0766188000016
27,-23785.12454248,-6854.311290719999,-16884.321391920002,-46.49185983999632
28,-23737.47365888,-6872.054328239999,-16809.44644656,-55.97288408000168
29,-23768.1295964,-6854.0570032000005,-16862.30208064,-51.77051255999686
30,-23727.360586,-6845.818326799999,-16825.598861039998,-55.94339816000138
31,-23709.17392728,-6836.449527680001,-16825.40053552,-47.32386408000093
32,-23759.832318,-6811.896551360001,-16892.86357632,-55.07219031999921
33,-23798.971356560003,-6846.88572016,-16900.38937152,-51.69626488000358
