,complex,receptor,ligand,delta
0,-23916.44091504,-6967.839012480001,-16897.15230336,-51.449599199997465
1,-23869.930902560005,-6947.62950376,-16864.78030968,-57.521089120004035
2,-23897.080565199998,-6967.4855292,-16868.71064672,-60.884389279999596
3,-23893.48900112,-6975.399807759999,-16862.077536800003,-56.01165656000012
4,-23973.38529416,-6979.283630319999,-16938.707234479996,-55.39442936000705
5,-23861.63584552,-6954.393053680001,-16852.41345888,-54.82933295999828
6,-23840.556682639995,-6926.34722544,-16863.987395040003,-50.222062159991765
7,-23802.20978648,-6948.60657592,-16790.42989096,-63.17331960000229
8,-23965.050771759994,-6972.802037439999,-16934.742864000003,-57.50587031999021
9,-23893.8976412,-6954.31272216,-16876.798406799997,-62.7865122400035
10,-23864.3330996,-6982.87547696,-16821.08688992,-60.37073272000271
11,-23862.698824239997,-6907.9247274399995,-16902.8587196,-51.91537719999542
12,-23848.18621784,-6946.41230256,-16847.801281440003,-53.97263383999598
13,-23794.966862480003,-6957.468761519999,-16788.67974696,-48.818354000006366
14,-23860.818256000002,-6938.72570456,-16874.4143228,-47.67822864000118
15,-23861.50140248,-6918.81379248,-16887.76138784,-54.92622216000018
16,-23854.34733104,-6958.856593040001,-16832.399433040002,-63.091304959998524
17,-23844.35530832,-6941.74734,-16850.462427680002,-52.14554063999458
18,-23829.0734176,-6937.86958576,-16850.58332448,-40.620507359999465
19,-23856.71307608,-6926.976867439999,-16886.22974488,-43.50646375999713
20,-23908.098004,-6951.860205599999,-16909.99835408,-46.239444320002804
21,-23948.232481360003,-6953.5047716,-16949.579954160003,-45.14775559999907
22,-23868.764952640002,-6953.71388368,-16875.47746856,-39.57360040000276
23,-23877.295960000003,-6945.1501407999995,-16891.20478056,-40.94103864000135
24,-23830.943551679997,-6945.410230639999,-16843.81645112,-41.71686991999741
25,-23794.66094248,-6886.66442952,-16858.701238079997,-49.29527488000531
26,-23865.273718319997,-6942.458442799999,-16873.03297632,-49.782299200000125
27,-23901.11901632,-6915.793558720001,-16935.634000640002,-49.691456959997595
28,-23937.68350928,-6955.464380719999,-16925.75702056,-56.462108000003354
29,-23956.72697656,-6998.56638992,-16900.60406696,-57.55651967999802
30,-23804.792599680004,-6882.59905624,-16877.06361248,-45.12993096000355
31,-23856.04943232,-6951.72019192,-16854.81144344,-49.51779696000085
32,-23947.11613224,-6940.68291376,-16960.891017600003,-45.542200879997836
33,-23873.25391176,-6918.4970024799995,-16899.49329912,-55.2636101600001
34,-23877.914957520003,-6950.727898,-16883.93365448,-43.25340504000269
35,-23866.73018552,-6904.850777600001,-16912.14927728,-49.73013063999679
