,complex,receptor,ligand,delta
0,-24035.532576719997,-7080.43252584,-16915.37398552,-39.72606535999512
1,-23934.67718928,-7030.504743279999,-16855.98847416,-48.183971840000595
2,-23936.776345680002,-7019.425541760001,-16868.23418544,-49.11661848000222
3,-23929.00635688,-7002.9413988,-16878.07725032,-47.987707759999466
4,-24034.07937312,-7053.86910552,-16931.24486856,-48.96539904000019
5,-23923.124054559998,-7026.230892400001,-16865.50780232,-31.385359839998273
6,-23937.18309488,-7014.09367104,-16884.30642648,-38.78299735999826
7,-23883.95716128,-7039.0584430399995,-16804.854179839997,-40.04453840000497
8,-23946.569662239996,-7014.427441039999,-16889.7985724,-42.34364879999703
9,-24009.202371039995,-7051.594126159999,-16928.26146264,-29.346782239997992
10,-23910.30345816,-6979.64469008,-16896.41935928,-34.23940880000009
11,-23986.943188799996,-7056.05246488,-16896.61783224,-34.272891679996974
12,-23857.180976239997,-7002.26331408,-16822.00335752,-32.91430463999859
13,-23957.1761788,-7018.47799392,-16905.11556488,-33.58262000000104
14,-23855.05369184,-6991.52907456,-16831.66743256,-31.857184720000078
15,-23900.48585864,-6990.560487760001,-16878.64888704,-31.276483839999855
16,-23839.642089599998,-6998.90566704,-16804.956602719998,-35.77981984000144
17,-23910.91914808,-7009.9762212,-16866.73123096,-34.21169592000297
18,-23911.13488208,-7013.77058712,-16865.753729519998,-31.610565440005303
19,-23895.80519072,-7013.185882160001,-16862.09149056,-20.52781799999866
20,-23820.848640480002,-6976.30661648,-16814.27364736,-30.268376640000497
21,-23909.752913280005,-7013.40424432,-16877.375662560004,-18.973006400003214
22,-23829.710406640002,-6986.76174336,-16808.796290879996,-34.15237240000715
23,-23813.25587792,-6988.172481119999,-16795.784434480003,-29.298962319997372
24,-23868.332393040004,-7033.08574344,-16805.59165984,-29.654989760001627
25,-23911.3826288,-7002.032332000001,-16885.54942976,-23.800867039994046
26,-23945.432070560004,-7026.00580952,-16890.95203192,-28.474229120005475
27,-23906.536320799998,-6986.36264808,-16900.0155372,-20.158135519995994
28,-23880.952498000002,-7032.8664048,-16834.60482464,-13.481268560004537
29,-23855.637207839998,-7031.0067728799995,-16812.40247032,-12.22796463999839
30,-23925.402229199997,-7030.01381688,-16869.33420448,-26.054207839995797
31,-23890.02949784,-7036.29545328,-16828.021298,-25.712746560002415
32,-23843.1044924,-7016.55384712,-16800.20313904,-26.347506240002986
33,-23843.235413120005,-7033.42957128,-16785.199696,-24.60614584000359
34,-23851.200525519995,-7045.2031823199995,-16789.18574728,-16.811595919996762
35,-23704.927888160004,-6962.803616880001,-16716.28464632,-25.839624960004585
36,-23964.334302720003,-7028.28571416,-16908.15786888,-27.890719680002803
37,-23783.84771008,-6985.221117439999,-16784.89167168,-13.734920959999727
38,-23862.566718000002,-6977.16554976,-16858.4058948,-26.995273440003075
39,-23763.820000639997,-6988.9039632799995,-16761.825614319998,-13.090423040001042
40,-23789.938103919998,-6994.03027512,-16779.8479072,-16.059921599997324
41,-23772.027763039998,-6966.618504319999,-16786.461264160003,-18.947994559996005
42,-23909.470602160003,-7048.27480664,-16844.27302,-16.92277552000087
43,-23767.969218079998,-6986.05601072,-16762.73134952,-19.181857839997974
44,-23862.74928784,-7014.383942799999,-16831.992384240002,-16.37296079999942
45,-23783.93571464,-6995.921026079999,-16770.18162104,-17.83306752000135
46,-23821.522227999998,-7001.746991600001,-16796.11507848,-23.66015791999598
47,-23912.53557976,-7012.997140639999,-16882.93412616,-16.604312960000243
48,-23863.33588552,-7014.283737839999,-16822.06628792,-26.985859759999585
49,-23826.20679344,-7018.752992160001,-16789.105465200002,-18.348336079998262
50,-23823.50651336,-7047.7026068000005,-16762.689605839998,-13.114300720000756
51,-23843.751520960002,-7014.44100584,-16808.459217599997,-20.851297520006483
52,-23902.55077856,-7010.5423312,-16883.919728,-8.088719359999232
53,-23841.115971440002,-7025.28260624,-16795.856281279997,-19.97708392000277
54,-23887.65462872,-7029.03412976,-16841.720527119996,-16.899971840004582
55,-23975.70371992,-7044.847710880001,-16910.17812944,-20.67787959999987
56,-23877.981410719996,-7035.8830020000005,-16821.68675272,-20.411655999992945
57,-23921.332873440002,-7031.043071919999,-16867.79791752,-22.491883999999118
58,-23945.761612240007,-7038.66066824,-16875.34354552,-31.757398480003758
59,-23943.668655600002,-7015.581369119999,-16903.968441999998,-24.118844480006373
60,-23860.03996936,-7033.17344368,-16793.668274000003,-33.198251679998066
61,-24009.965089280002,-7043.09338712,-16944.99951328,-21.872188880002795
62,-24001.0489588,-7055.97367888,-16921.24269576,-23.832584159998078
63,-23933.16613928,-7057.372274800001,-16857.50767232,-18.28619216000152
64,-23920.95054336,-7046.15328536,-16856.524734560004,-18.272523439994984
65,-23864.975934000006,-7035.0419027200005,-16810.91641608,-19.01761520000582
66,-23961.131647280003,-7063.98878312,-16864.085134800003,-33.05772935999994
67,-23851.40698072,-6987.638207360001,-16836.98491352,-26.78385984000124
68,-23848.469795519995,-7034.0709090400005,-16793.96705288,-20.431833599992387
69,-23909.6644888,-7020.24398488,-16866.31094504,-23.109558880001714
70,-23832.17465448,-7011.324059119999,-16798.39918664,-22.45140872000411
71,-23922.433726479998,-6995.6504852,-16901.311379920004,-25.471861359994364
72,-23889.515998960003,-7037.53064968,-16828.7598204,-23.225528880004276
73,-23881.94139696,-7039.1863345599995,-16821.790521760002,-20.964540639997722
74,-23924.20762192,-7078.84959824,-16824.18234888,-21.175674800000706
75,-23915.61020888,-7006.523152639999,-16885.24583176,-23.841224480001983
76,-23867.762593919997,-6995.301569199999,-16857.841736,-14.619288719997712
77,-23824.92274568,-6999.695760639999,-16809.927249520002,-15.299735519998649
78,-23849.618040240002,-7034.81870776,-16790.8398984,-23.959434079999482
79,-23875.751561279998,-7012.54051336,-16846.58854968,-16.622498239998095
