,complex,receptor,ligand,delta
0,-23937.44429664,-7024.880656560001,-16870.2456824,-42.31795767999938
1,-23842.908317679998,-7006.70653512,-16796.719242799998,-39.48253975999978
2,-23871.214141440003,-6994.1127112,-16840.7496716,-36.351758640004846
3,-23893.752194719997,-6982.478290399999,-16866.26184576,-45.01205855999797
4,-23922.823156879997,-7015.985881039999,-16865.75042176,-41.086854079996556
5,-23864.549904239997,-7008.97370704,-16819.12333176,-36.45286543999464
6,-23874.07945792,-7028.5300372,-16804.19410768,-41.35531304000324
7,-23815.4046364,-7031.15826904,-16749.05381736,-35.192549999999756
8,-23891.8397768,-7017.433356640001,-16839.118889679998,-35.28753047999999
9,-23908.0384828,-7003.571318480001,-16864.342266559997,-40.12489776000075
10,-23960.623834320002,-7014.25102208,-16906.307840240002,-40.064972000000125
11,-24005.20599672,-7042.2274810399995,-16925.43304344,-37.54547223999907
12,-23862.23850448,-7005.5303892,-16821.30469664,-35.40341863999856
13,-23866.977714399996,-7003.54687216,-16832.49535952,-30.9354827199968
14,-23930.150952959997,-7010.5614136,-16879.40741384,-40.1821255199975
15,-23826.998471520004,-6972.12087072,-16819.374676720003,-35.5029240799995
16,-23794.778092,-6972.0027463999995,-16787.53671008,-35.23863551999966
17,-23894.9287212,-6962.731137520001,-16903.27972856,-28.91785512000206
18,-23842.355564640002,-6993.20471288,-16813.230792799997,-35.9200589600041
19,-23944.011405279998,-6987.5883105600005,-16919.20738536,-37.215709359996254
20,-23914.563341600002,-6996.098078720001,-16879.99295616,-38.472306719999324
21,-23912.69937672,-7022.8791670400005,-16848.892216800003,-40.92799287999878
22,-23806.82263688,-7021.546631599999,-16768.456772880003,-16.819232399997418
23,-23864.730987439998,-7047.376652000001,-16776.531296800003,-40.823038639991864
24,-23833.72109096,-6975.28569992,-16824.489036000003,-33.94635503999598
25,-23865.316956560004,-7021.0278608,-16810.5636212,-33.72547456000393
26,-23902.21354944,-7045.8541796,-16820.26312232,-36.09624751999945
27,-23946.84194816,-7074.46256944,-16836.580646239996,-35.79873248000513
28,-23946.39607272,-7044.384500639999,-16875.59887832,-26.412693759997637
29,-23922.94726528,-7040.86262552,-16852.87802768,-29.206612080000923
30,-23832.93819104,-7010.7133752,-16793.05606464,-29.16875119999895
31,-23902.411469839997,-7045.375906480001,-16822.1472932,-34.888270159997774
32,-23809.233271279998,-6995.0706785600005,-16784.9950264,-29.167566319996695
33,-23847.456297279998,-7024.38294144,-16791.70581408,-31.367541759998858
34,-23839.1472824,-7039.552638640001,-16762.85195128,-36.74269247999837
35,-23796.961717119997,-6984.85707976,-16783.018161840002,-29.086475519994565
36,-23889.86617016,-7053.70795168,-16815.62628096,-20.531937519997882
37,-23914.74184744,-7008.4649824,-16879.40715928,-26.869705760000215
38,-23861.380891439996,-7028.10563384,-16804.432598159998,-28.842659439997078
39,-23874.461902400002,-7004.680436240001,-16836.11686768,-33.66459848000159
40,-23896.74844416,-7009.0145059999995,-16858.28623352,-29.447704639998847
41,-23921.26440784,-6994.330397919999,-16887.30190328,-39.63210664000144
42,-23885.922554640005,-6966.400139599999,-16891.217303119996,-28.30511192000995
43,-23812.317536399998,-6965.90790016,-16804.52533568,-41.88430055999925
44,-23823.87944576,-6981.835597599999,-16807.472848080004,-34.57100007999907
45,-23769.761082560002,-6949.99350664,-16793.303227599998,-26.46434832000523
46,-23882.9728012,-6969.7732504,-16877.14373336,-36.05581744000301
47,-23920.972782,-7028.351683440001,-16862.2883788,-30.332719760001055
48,-23868.197859600004,-7011.515213600001,-16825.84119744,-30.84144856000421
49,-23830.340162159995,-6978.85419616,-16812.05906192,-39.42690407999544
50,-23904.811110000002,-7005.3962553599995,-16860.038971280002,-39.375883360000444
51,-23848.334169679998,-6957.435146320001,-16842.548684960002,-48.35033839999596
52,-23841.085357599997,-6956.88552928,-16837.727460000002,-46.47236831999544
53,-23871.856513119998,-6990.845373759999,-16829.57715832,-51.43398103999789
54,-23805.673809359996,-6946.12119048,-16819.794482,-39.75813687999471
55,-23774.72252184,-6937.6287048799995,-16779.39057848,-57.70323848000044
56,-23786.069977119998,-6958.66474392,-16779.005212559998,-48.40002064000146
57,-23777.75734248,-6960.096646160001,-16764.2224928,-53.43820351999966
58,-23801.15933664,-6975.14443424,-16782.59537552,-43.419526880003104
59,-23821.639145279998,-6970.249772000001,-16800.57920032,-50.810172959998454
60,-23749.610199920004,-6942.69446648,-16760.218737199997,-46.69699624000714
61,-23916.28331288,-6993.87829336,-16876.395878000003,-46.009141519996774
62,-23841.61304664,-6998.67568424,-16816.220160480003,-26.717201919997024
63,-23831.69314616,-7014.78074648,-16783.40112256,-33.51127712000016
64,-23895.606644960004,-6987.0821699200005,-16855.77400416,-52.750470880004286
65,-23821.51112224,-6974.41695672,-16812.7975632,-34.29660231999878
66,-23845.55182264,-6996.4211172000005,-16813.2238864,-35.90681904000303
67,-23749.2508788,-6938.74647208,-16785.354999519997,-25.149407200002315
68,-23775.628291760004,-7000.225322079999,-16743.52479088,-31.878178800005116
69,-23822.41012656,-7000.05947328,-16801.59199736,-20.75865592000264
70,-23824.37829016,-6980.254517920001,-16827.398585680003,-16.725186559997383
71,-23852.68885888,-7005.25235816,-16816.87818552,-30.558315199999925
72,-23751.32884896,-7005.12861888,-16716.92144144,-29.27878864000013
73,-23794.848343359998,-7025.835294160001,-16735.196726079997,-33.81632312000147
74,-23868.42211112,-7007.5304284,-16825.169966240002,-35.72171647999494
75,-23940.4493152,-7069.376924159999,-16846.195420399996,-24.87697064000531
76,-23933.843039199997,-7040.0937196800005,-16871.3654196,-22.38389991999793
77,-23864.69961896,-7074.531908479999,-16769.633686,-20.53402447999906
78,-23900.123488080004,-7038.5885672800005,-16834.48311416,-27.051806640003633
79,-23910.357432719997,-7021.63916376,-16856.30638928,-32.4118796799994
80,-23844.546677119997,-7027.58265536,-16785.60683376,-31.357187999998132
81,-23830.278572320003,-6976.059909760001,-16837.910410639997,-16.308251920007024
82,-23827.902193600003,-6979.12859824,-16841.22015256,-7.553442800002813
83,-23869.431318239996,-6984.50237848,-16857.51663696,-27.412302799995814
84,-23754.526531679996,-6972.2025725600015,-16766.69598224,-15.627976879997732
85,-23980.1005296,-7009.912313360001,-16949.10278064,-21.085435599998164
86,-23903.55252192,-6977.180127279999,-16906.73992136,-19.63247327999852
87,-23867.72871504,-6979.43713744,-16873.90440976,-14.387167839999165
88,-23874.049651359997,-7018.848876880001,-16823.68089352,-31.519880959996954
89,-23785.392189039998,-6970.500704399999,-16791.9423408,-22.949143839996395
90,-23917.946041279996,-6997.39957656,-16895.91846032,-24.628004399994097
91,-23941.05860392,-7015.83629008,-16891.19631288,-34.026000959995145
92,-23924.08745344,-7037.45933976,-16855.81549512,-30.812618559997645
93,-23953.80586752,-7023.563655999999,-16898.682373839998,-31.55983768000442
94,-23896.36238632,-7010.47830768,-16864.536499679998,-21.347578960001556
95,-23815.927356,-6950.89976264,-16843.679944000003,-21.347649359995557
96,-23900.267782000003,-6999.5751612799995,-16873.2808492,-27.41177152000455
97,-23878.52137344,-7000.716458159999,-16856.27645848,-21.52845680000246
98,-23935.731464960005,-7017.49205872,-16890.013213439997,-28.226192800007993
99,-23939.513432879998,-7015.94470568,-16899.69807368,-23.870653519996267
100,-23840.11039328,-6975.47716664,-16840.19189144,-24.44133519999741
101,-23824.355378,-6991.712388319999,-16802.560964,-30.082025679999788
102,-23799.47797208,-7005.97222968,-16773.17175808,-20.333984320001036
103,-23906.299199120003,-7026.122304720001,-16853.48844376,-26.688450640001975
104,-23850.49554736,-7014.0254432,-16814.97576256,-21.494341599998734
105,-23853.92733064,-7016.11084376,-16821.82653904,-15.989947839996603
106,-23841.6808548,-7013.17892328,-16807.76792496,-20.734006560000125
107,-23740.70012072,-6981.765710720001,-16738.14101104,-20.79339895999874
108,-23899.22746288,-7031.443494880001,-16850.86190008,-16.9220679200007
109,-23799.157851679996,-6997.87024536,-16781.16286848,-20.12473783999667
110,-23842.97156,-6991.3138661600005,-16834.288301520002,-17.36939232000077
111,-23823.520400719997,-6991.9938484799995,-16800.80600504,-30.720547199995053
112,-23846.509227680002,-6989.839412480001,-16830.03973328,-26.63008192000416
113,-23863.456725920005,-6996.714445920001,-16830.588568559997,-36.15371144000528
114,-23911.08851744,-7004.70324952,-16885.44051192,-20.94475600000078
115,-23802.0578088,-6978.25314928,-16788.81035712,-34.99430239999856
116,-23937.01310248,-7023.3793021599995,-16863.300437039998,-50.33336328000223
117,-23882.121272079996,-6984.68283584,-16843.41402392,-54.02441231999546
118,-23878.014593360003,-7010.1706476,-16814.832374960002,-53.01157080000121
119,-23885.42895352,-7001.22384608,-16837.8105584,-46.39454904000013
120,-23945.63148752,-7025.4642115999995,-16858.632603039998,-61.5346728800032
121,-23776.57970968,-6996.25466632,-16718.49666904,-61.828374320000876
122,-23825.41620512,-6990.9006836,-16793.087047999998,-41.42847352000172
123,-23824.85798712,-6982.57488352,-16800.585355040002,-41.697748560000036
124,-23807.62540648,-6976.696897520001,-16788.3410196,-42.5874893600012
125,-23830.685957599995,-7011.50758928,-16772.05369432,-47.12467399999514
