,complex,receptor,ligand,delta
0,-24044.207988,-7126.018379360001,-16865.291663199998,-52.8979454399996
1,-24060.46496648,-7167.50324456,-16844.499296320002,-48.462425599998824
2,-24012.224455279997,-7143.44779264,-16813.98070704,-54.795955599998706
3,-23949.96061528,-7085.98584096,-16803.73256368,-60.24221064000085
4,-24036.34775064,-7107.8846747200005,-16889.020367679997,-39.44270824000341
5,-24032.347904479997,-7109.23545536,-16858.75552168,-64.35692743999971
6,-24091.41194048,-7100.591050319999,-16918.912979599998,-71.90791056000307
7,-24044.03673192,-7082.64825352,-16921.3089788,-40.07949960000042
8,-24007.386838480004,-7095.90486832,-16866.41728888,-45.06468128000779
9,-24035.880626800004,-7089.66545984,-16879.20821272,-67.0069542400015
10,-24034.616942480003,-7053.6408092,-16905.462797999997,-75.51333528000396
11,-24105.42221856,-7111.375038,-16919.30827696,-74.73890360000223
12,-24069.62386664,-7079.05945504,-16921.053596960002,-69.51081463999799
13,-24045.4396952,-7073.64353712,-16905.777891439997,-66.01826664000328
14,-24057.015167920003,-7061.90708936,-16924.45265968,-70.65541888000371
15,-24113.386546960002,-7122.128990880001,-16923.908843840003,-67.34871224000017
16,-24085.883090720003,-7084.467283599999,-16938.58674784,-62.829059280004
17,-24003.68149208,-7068.667804000001,-16875.73086224,-59.2828258399968
18,-24007.427395839997,-7061.699666799999,-16884.29937944,-61.42834959999891
19,-24030.510768640004,-7050.788224,-16918.48523192,-61.23731272000441
20,-24020.33099072,-7072.75997488,-16879.812263519998,-67.7587523200018
21,-24089.954297120003,-7082.348562560001,-16936.85584008,-70.7498944800027
22,-24103.113891679994,-7073.06040208,-16964.245351679998,-65.80813791999753
23,-24116.48148736,-7065.4340885599995,-16989.532419199997,-61.51497960000415
24,-24103.949198640003,-7063.5857457600005,-16975.5274184,-64.83603448000213
25,-24150.076931920004,-7078.8540992,-17007.36127848,-63.861554240007536
26,-24074.08771136,-7093.08408704,-16920.99548288,-60.008141440001054
27,-24025.295337519998,-7042.991797759999,-16921.6102148,-60.69332496000061
28,-24106.5745736,-7081.768800000001,-16962.84543688,-61.96033671999612
29,-24078.820966239997,-7087.74583712,-16934.140002,-56.93512711999574
30,-24088.25156832,-7085.98247576,-16958.193137520004,-44.07595503999619
31,-24078.085954719998,-7080.694454959999,-16932.232719839998,-65.15877992000242
32,-24078.6486532,-7101.040380799999,-16921.78980024,-55.818472160000965
33,-24200.094508880004,-7149.3314383199995,-16986.96016568,-63.80290488000537
34,-24022.815820719996,-7059.922410560001,-16917.12704024,-45.76636991999476
35,-24092.687085839996,-7092.61562464,-16945.1964256,-54.87503559999823
36,-24037.10027304,-7095.470805919999,-16879.70946112,-61.920006000000285
37,-24165.55997048,-7099.7538447199995,-16995.88129352,-69.9248322400017
38,-24068.560141680002,-7091.72400992,-16908.158974320002,-68.67715744000088
39,-24071.31144,-7070.969015119999,-16945.68436632,-54.65805855999861
40,-24061.797693119996,-7075.09060288,-16928.38668744,-58.32040279999637
41,-24040.51234976,-7068.3538384799995,-16926.05797808,-46.10053319999861
42,-24134.039304880003,-7091.296225279999,-16993.3761636,-49.366916000002675
43,-24072.208076239996,-7047.74880224,-16970.896843680002,-53.562430319994746
44,-24104.547449679998,-7079.47362928,-16968.21129264,-56.86252775999674
45,-24038.35315624,-7068.622166640001,-16924.526219680003,-45.20476991999385
46,-24093.754348720002,-7071.8972012,-16971.83532464,-50.0218228800004
47,-24073.51359712,-7087.24217584,-16940.260853760003,-46.010567519995675
48,-24095.78320888,-7080.00357688,-16968.964528080003,-46.815103919994726
49,-24128.868663679998,-7094.22863944,-16984.82964024,-49.8103839999967
50,-24093.42978616,-7063.419451759999,-16977.617972639997,-52.39236176000122
51,-24142.63365912,-7092.05378296,-16994.30470576,-56.275170400000206
52,-24123.374540000004,-7077.35675728,-16984.418990320002,-61.59879240000009
53,-24067.847902559995,-7048.138989439999,-16964.100280720002,-55.60863239999526
54,-24105.941260159998,-7065.35062944,-16981.59447192,-58.99615879999692
55,-24034.352809760003,-7056.0312333599995,-16923.292426,-55.02915040000153
56,-23995.89928664,-7037.86218344,-16910.710681999997,-47.3264212000031
57,-24085.24415912,-7060.92847352,-16977.8415204,-46.474165199997515
58,-24082.206548800004,-7056.18674376,-16981.54003,-44.479775040003005
59,-24088.88910176,-7058.08126904,-16985.511894400002,-45.29593831999591
60,-24081.50665688,-7057.841038479999,-16979.9878828,-43.677735599998414
61,-23979.09586896,-7063.64697608,-16872.87353912,-42.575353760003054
62,-24068.9741588,-7083.22823272,-16938.968094480002,-46.777831599996716
63,-24116.64741544,-7066.3190092,-16994.23548936,-56.09291687999939
64,-24067.90746944,-7074.4709468,-16936.91750472,-56.5190179199999
65,-24039.526738719997,-7087.14923928,-16905.051767599998,-47.32573183999921
66,-24132.989388640002,-7093.27620864,-16988.22183816,-51.49134184000286
